tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
689,2019-05-01 00:03:20.8620,2019-05-01 00:14:50.5400,476,E 31 St & 3 Ave,40.74394314,-73.97966069,312,Allen St & Stanton St,40.722055,-73.989111,20257,Subscriber,1990,1
355,2019-05-01 00:03:23.7070,2019-05-01 00:09:18.8550,325,E 19 St & 3 Ave,40.73624527,-73.98473765,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,25468,Subscriber,1990,2
604,2019-05-01 00:03:30.4500,2019-05-01 00:13:34.6700,285,Broadway & E 14 St,40.73454567,-73.99074142,473,Rivington St & Chrystie St,40.72110063,-73.99192540000001,28900,Subscriber,1984,2
556,2019-05-01 00:03:31.3330,2019-05-01 00:12:47.3680,486,Broadway & W 29 St,40.7462009,-73.98855723,504,1 Ave & E 16 St,40.73221853,-73.98165557,26057,Subscriber,1995,1
504,2019-05-01 00:04:21.7880,2019-05-01 00:12:45.8920,3299,E 98 St & Park Ave,40.788129999999995,-73.95206,3622,E 128 St & Madison Ave,40.807559999999995,-73.93918199999999,19911,Subscriber,1988,1
221,2019-05-01 00:04:31.8200,2019-05-01 00:08:13.4200,3467,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,257,Lispenard St & Broadway,40.71939226,-74.00247214,25543,Subscriber,1998,1
537,2019-05-01 00:04:45.5910,2019-05-01 00:13:43.3720,509,9 Ave & W 22 St,40.7454973,-74.00197139,494,W 26 St & 8 Ave,40.74734825,-73.99723551,28381,Subscriber,1972,1
309,2019-05-01 00:04:51.2610,2019-05-01 00:10:01.1060,307,Canal St & Rutgers St,40.71427487,-73.98990025,3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,20946,Subscriber,1988,1
1999,2019-05-01 00:04:55.7620,2019-05-01 00:38:15.3530,528,2 Ave & E 31 St,40.74290902,-73.97706058,391,Clark St & Henry St,40.69760127,-73.99344559,25576,Subscriber,1961,1
490,2019-05-01 00:05:00.5850,2019-05-01 00:13:10.7170,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,325,E 19 St & 3 Ave,40.73624527,-73.98473765,20171,Subscriber,1995,1
2031,2019-05-01 00:05:01.4680,2019-05-01 00:38:52.5490,3606,49 Ave & 21 St,40.74252,-73.948852,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,28251,Subscriber,1991,2
1130,2019-05-01 00:05:03.9860,2019-05-01 00:23:54.8150,3042,Fulton St & Utica Ave,40.6794268,-73.92989109999999,532,S 5 Pl & S 5 St,40.710451,-73.960876,21281,Subscriber,1997,1
1935,2019-05-01 00:05:08.4740,2019-05-01 00:37:24.1520,3113,Greenpoint Ave & Manhattan Ave,40.730259999999994,-73.95394,3526,31 St & 23 Ave,40.7747878,-73.91255509999999,19725,Subscriber,1992,1
214,2019-05-01 00:05:10.8950,2019-05-01 00:08:45.8480,3486,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,17759,Subscriber,1981,2
456,2019-05-01 00:05:11.3700,2019-05-01 00:12:47.6520,3042,Fulton St & Utica Ave,40.6794268,-73.92989109999999,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,31469,Subscriber,1988,1
462,2019-05-01 00:05:18.8780,2019-05-01 00:13:01.6710,3707,Lexington Ave & E 26 St,40.741459000000006,-73.983293,504,1 Ave & E 16 St,40.73221853,-73.98165557,20333,Subscriber,1990,1
267,2019-05-01 00:05:20.5530,2019-05-01 00:09:48.1860,504,1 Ave & E 16 St,40.73221853,-73.98165557,487,E 20 St & FDR Drive,40.73314259,-73.97573881,15815,Subscriber,1971,2
727,2019-05-01 00:05:25.6450,2019-05-01 00:17:33.6310,2000,Front St & Washington St,40.70255088,-73.98940236,313,Washington Ave & Park Ave,40.69610226,-73.96751037,20136,Subscriber,1989,2
414,2019-05-01 00:05:37.6010,2019-05-01 00:12:31.6410,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3086,Graham Ave & Conselyea St,40.715143,-73.944507,25555,Subscriber,1989,1
630,2019-05-01 00:05:46.6230,2019-05-01 00:16:17.1220,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,18432,Subscriber,1970,1
367,2019-05-01 00:05:57.1190,2019-05-01 00:12:04.3070,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,3562,Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,30437,Subscriber,1989,2
298,2019-05-01 00:06:05.7260,2019-05-01 00:11:04.0500,3177,W 84 St & Broadway,40.7867947,-73.977112,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,19037,Subscriber,1992,1
294,2019-05-01 00:06:06.8590,2019-05-01 00:11:01.5480,3177,W 84 St & Broadway,40.7867947,-73.977112,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,30276,Subscriber,1991,1
1256,2019-05-01 00:06:15.7170,2019-05-01 00:27:12.5050,461,E 20 St & 2 Ave,40.73587678,-73.98205027,392,Jay St & Tech Pl,40.695065,-73.987167,28474,Subscriber,1980,1
459,2019-05-01 00:06:17.2890,2019-05-01 00:13:56.4520,490,8 Ave & W 33 St,40.751551,-73.993934,450,W 49 St & 8 Ave,40.76227205,-73.98788205,18039,Subscriber,1995,1
1076,2019-05-01 00:06:23.5340,2019-05-01 00:24:20.0940,320,Leonard St & Church St,40.717571,-74.005549,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,21004,Subscriber,1974,1
294,2019-05-01 00:06:23.9070,2019-05-01 00:11:18.3980,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,3263,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,31117,Subscriber,1969,1
1990,2019-05-01 00:06:35.9760,2019-05-01 00:39:46.9010,3671,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,523,W 38 St & 8 Ave,40.75466591,-73.99138152,20725,Customer,1973,1
1997,2019-05-01 00:06:38.8640,2019-05-01 00:39:56.0330,3671,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,523,W 38 St & 8 Ave,40.75466591,-73.99138152,21252,Customer,1980,2
515,2019-05-01 00:06:41.2920,2019-05-01 00:15:16.5900,447,8 Ave & W 52 St,40.76370739,-73.9851615,3226,W 82 St & Central Park West,40.78275,-73.97137,34151,Subscriber,1967,1
342,2019-05-01 00:06:46.3490,2019-05-01 00:12:28.4130,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,32382,Subscriber,1995,1
