tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
960,2019-03-01 00:04:14.5620,2019-03-01 00:20:15.4370,388.0,W 26 St & 10 Ave,40.749717753,-74.002950346,472.0,E 32 St & Park Ave,40.745712100000006,-73.98194829,15854,Subscriber,1989,1
1562,2019-03-01 00:04:32.5940,2019-03-01 00:30:34.8500,3161.0,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,34354,Customer,1986,1
107,2019-03-01 00:04:29.9410,2019-03-01 00:06:17.0080,3294.0,E 91 St & Park Ave,40.7835016,-73.955327,3305.0,E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,35655,Subscriber,1991,1
1017,2019-03-01 00:04:30.1130,2019-03-01 00:21:27.6360,401.0,Allen St & Rivington St,40.72019576,-73.98997825,312.0,Allen St & Stanton St,40.722055,-73.989111,28081,Subscriber,1999,1
745,2019-03-01 00:04:46.5940,2019-03-01 00:17:12.0670,439.0,E 4 St & 2 Ave,40.726280700000004,-73.98978041,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,31417,Subscriber,1967,2
216,2019-03-01 00:04:56.8780,2019-03-01 00:08:33.3850,394.0,E 9 St & Avenue C,40.72521311,-73.97768752,3711.0,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,33952,Subscriber,1974,1
340,2019-03-01 00:04:49.4850,2019-03-01 00:10:30.4360,3155.0,Lexington Ave & E 63 St,40.76440023,-73.96648977,3370.0,E 78 St & 2 Ave,40.7727966,-73.95577801,17298,Subscriber,1995,1
708,2019-03-01 00:05:23.0040,2019-03-01 00:17:11.0960,3314.0,W 95 St & Broadway,40.7937704,-73.971888,3173.0,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,34300,Subscriber,1988,1
522,2019-03-01 00:05:25.2390,2019-03-01 00:14:08.0120,2003.0,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,349.0,Rivington St & Ridge St,40.71850211,-73.98329859,34817,Subscriber,1981,1
650,2019-03-01 00:05:27.9180,2019-03-01 00:16:18.4090,3282.0,5 Ave & E 88 St,40.78307,-73.95939,3553.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,36392,Subscriber,1991,1
355,2019-03-01 00:05:55.6060,2019-03-01 00:11:50.8330,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,461.0,E 20 St & 2 Ave,40.73587678,-73.98205027,34411,Subscriber,1992,1
2330,2019-03-01 00:06:12.2110,2019-03-01 00:45:02.2480,2021.0,W 45 St & 8 Ave,40.75929124,-73.98859651,532.0,S 5 Pl & S 5 St,40.710451,-73.960876,35374,Subscriber,1984,1
417,2019-03-01 00:07:05.9090,2019-03-01 00:14:03.8870,472.0,E 32 St & Park Ave,40.745712100000006,-73.98194829,285.0,Broadway & E 14 St,40.73454567,-73.99074142,27473,Subscriber,1985,2
74,2019-03-01 00:07:14.2390,2019-03-01 00:08:28.6530,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,393.0,E 5 St & Avenue C,40.72299208,-73.97995466,34996,Subscriber,1974,1
266,2019-03-01 00:07:25.8810,2019-03-01 00:11:52.5380,366.0,Clinton Ave & Myrtle Ave,40.693261,-73.968896,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,35737,Subscriber,1972,1
406,2019-03-01 00:07:14.1320,2019-03-01 00:14:00.1820,3660.0,W 16 St & 8 Ave,40.74102150900266,-74.001384973526,523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,28389,Subscriber,1980,1
125,2019-03-01 00:07:39.0620,2019-03-01 00:09:44.8410,3064.0,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,3058.0,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,32352,Subscriber,1990,1
1017,2019-03-01 00:07:48.5980,2019-03-01 00:24:46.1770,3136.0,5 Ave & E 63 St,40.766368,-73.971518,3521.0,Lenox Ave & W 111 St,40.7987859,-73.9523,17239,Subscriber,1983,2
1306,2019-03-01 00:08:04.2890,2019-03-01 00:29:50.8030,405.0,Washington St & Gansevoort St,40.739323,-74.008119,265.0,Stanton St & Chrystie St,40.72229346,-73.99147535,27284,Subscriber,1985,1
1062,2019-03-01 00:08:25.0860,2019-03-01 00:26:07.8620,3414.0,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,364.0,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,21039,Subscriber,1996,2
657,2019-03-01 00:08:24.4310,2019-03-01 00:19:22.2130,128.0,MacDougal St & Prince St,40.72710258,-74.00297088,296.0,Division St & Bowery,40.71413089,-73.99704679999999,15770,Subscriber,1984,1
540,2019-03-01 00:08:51.0480,2019-03-01 00:17:51.0900,335.0,Washington Pl & Broadway,40.72903917,-73.99404649,150.0,E 2 St & Avenue C,40.720873600000004,-73.98085795,17025,Subscriber,1997,2
241,2019-03-01 00:09:04.1320,2019-03-01 00:13:06.0140,280.0,E 10 St & 5 Ave,40.73331967,-73.99510132,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,36408,Subscriber,1993,1
299,2019-03-01 00:08:57.4840,2019-03-01 00:13:57.1320,3137.0,5 Ave & E 73 St,40.77282817,-73.96685276,3165.0,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,30334,Subscriber,1970,1
257,2019-03-01 00:09:03.6370,2019-03-01 00:13:21.5220,507.0,E 25 St & 2 Ave,40.73912601,-73.97973776,491.0,E 24 St & Park Ave S,40.74096374,-73.98602213,33070,Subscriber,1977,2
1484,2019-03-01 00:09:03.6590,2019-03-01 00:33:47.9440,268.0,Howard St & Centre St,40.71910537,-73.99973337,82.0,St James Pl & Pearl St,40.71117416,-74.00016545,35613,Subscriber,2000,1
3001,2019-03-01 00:09:05.8530,2019-03-01 00:59:07.8190,3711.0,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,523.0,W 38 St & 8 Ave,40.75466591,-73.99138152,35773,Subscriber,1987,1
211,2019-03-01 00:09:14.5110,2019-03-01 00:12:45.7860,369.0,Washington Pl & 6 Ave,40.73224119,-74.00026394,161.0,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,20553,Subscriber,1977,1
