tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
155,2019-08-01 00:01:28.4030,2019-08-01 00:04:03.9730,442.0,W 27 St & 7 Ave,40.746646999999996,-73.993915,435.0,W 21 St & 6 Ave,40.74173969,-73.99415556,39906,Subscriber,1978,1
684,2019-08-01 00:01:32.4630,2019-08-01 00:12:57.3410,268.0,Howard St & Centre St,40.71910537,-73.99973337,332.0,Cherry St,40.71219906,-73.97948148,17784,Subscriber,1972,1
599,2019-08-01 00:01:32.8650,2019-08-01 00:11:32.7180,497.0,E 17 St & Broadway,40.73704984,-73.99009296,3443.0,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,27383,Subscriber,1996,1
660,2019-08-01 00:01:35.5460,2019-08-01 00:12:36.2450,508.0,W 46 St & 11 Ave,40.76341379,-73.99667444,492.0,W 33 St & 7 Ave,40.75019995,-73.99093085,39142,Subscriber,1994,1
249,2019-08-01 00:01:36.6820,2019-08-01 00:05:46.1010,3141.0,1 Ave & E 68 St,40.76500525,-73.95818491,3134.0,3 Ave & E 62 St,40.76312584,-73.96526895,27051,Subscriber,1981,1
288,2019-08-01 00:01:38.0330,2019-08-01 00:06:26.1460,3553.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3400.0,E 110 St & Madison Ave,40.796153499999996,-73.94782145,18091,Subscriber,1996,1
593,2019-08-01 00:01:40.7340,2019-08-01 00:11:33.9860,3055.0,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,313.0,Washington Ave & Park Ave,40.69610226,-73.96751037,27820,Subscriber,1990,1
559,2019-08-01 00:01:50.0600,2019-08-01 00:11:09.6090,3136.0,5 Ave & E 63 St,40.766368,-73.971518,423.0,W 54 St & 9 Ave,40.76584941,-73.98690506,24835,Subscriber,1973,1
1118,2019-08-01 00:01:51.1920,2019-08-01 00:20:29.1920,3226.0,W 82 St & Central Park West,40.78275,-73.97137,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,34931,Subscriber,1979,1
649,2019-08-01 00:01:53.0220,2019-08-01 00:12:42.8490,237.0,E 11 St & 2 Ave,40.73047309,-73.98672378,410.0,Suffolk St & Stanton St,40.72066442,-73.98517977,30236,Subscriber,1972,2
360,2019-08-01 00:02:10.8870,2019-08-01 00:08:10.9720,380.0,W 4 St & 7 Ave S,40.73401143,-74.00293877,3788.0,E 12 St & 4 Av,40.732690000000005,-73.98974,28293,Subscriber,1995,1
594,2019-08-01 00:02:13.9790,2019-08-01 00:12:08.7150,379.0,W 31 St & 7 Ave,40.749156,-73.9916,3236.0,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187,30930,Subscriber,1960,1
1401,2019-08-01 00:02:14.7550,2019-08-01 00:25:36.1970,3687.0,E 33 St & 1 Ave,40.74322681432173,-73.97449783980845,259.0,South St & Whitehall St,40.70122128,-74.01234218,39838,Subscriber,1963,1
303,2019-08-01 00:02:18.4720,2019-08-01 00:07:21.5850,493.0,W 45 St & 6 Ave,40.7568001,-73.98291153,359.0,E 47 St & Park Ave,40.75510267,-73.97498696,31114,Subscriber,1975,1
1152,2019-08-01 00:02:21.2260,2019-08-01 00:21:33.4970,479.0,9 Ave & W 45 St,40.76019252,-73.9912551,489.0,10 Ave & W 28 St,40.75066386,-74.00176802,39365,Subscriber,1988,1
828,2019-08-01 00:02:31.8480,2019-08-01 00:16:20.2860,285.0,Broadway & E 14 St,40.73454567,-73.99074142,3255.0,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,20975,Subscriber,1983,1
254,2019-08-01 00:02:34.5170,2019-08-01 00:06:49.4570,3082.0,Hope St & Union Ave,40.71167351,-73.95141312,3094.0,Graham Ave & Withers St,40.7169811,-73.94485918,25815,Subscriber,1979,1
566,2019-08-01 00:02:36.8040,2019-08-01 00:12:02.9790,334.0,W 20 St & 7 Ave,40.74238787,-73.99726235,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,33316,Customer,1969,0
1901,2019-08-01 00:02:38.5960,2019-08-01 00:34:19.9530,116.0,W 17 St & 8 Ave,40.74177603,-74.00149746,3508.0,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,25816,Subscriber,1991,2
464,2019-08-01 00:02:38.8220,2019-08-01 00:10:22.9020,353.0,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,3335.0,Union St & 4 Ave,40.6772744,-73.98282002,21050,Subscriber,1993,1
502,2019-08-01 00:02:44.3760,2019-08-01 00:11:07.0090,326.0,E 11 St & 1 Ave,40.72953837,-73.98426726,400.0,Pitt St & Stanton St,40.71926081,-73.98178024,30081,Subscriber,2001,1
673,2019-08-01 00:02:45.8520,2019-08-01 00:13:58.9580,3553.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,3495.0,E 114 St & 1 Ave,40.79456629999999,-73.9362541,19287,Customer,1995,2
380,2019-08-01 00:02:47.1030,2019-08-01 00:09:07.2500,3461.0,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,363.0,West Thames St,40.70834698,-74.01713445,25764,Subscriber,1997,1
2586,2019-08-01 00:02:47.1490,2019-08-01 00:45:53.9170,127.0,Barrow St & Hudson St,40.73172428,-74.00674436,319.0,Fulton St & Broadway,40.711065999999995,-74.009447,39011,Subscriber,1987,2
787,2019-08-01 00:02:48.5500,2019-08-01 00:15:55.7020,3749.0,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,3712.0,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389,14590,Subscriber,1969,2
403,2019-08-01 00:02:57.1820,2019-08-01 00:09:40.9810,3711.0,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,3737.0,Stanton St & Norfolk St,40.720746999999996,-73.986274,31077,Subscriber,1977,1
105,2019-08-01 00:02:57.3120,2019-08-01 00:04:42.5570,436.0,Hancock St & Bedford Ave,40.68216564,-73.95399026,344.0,Monroe St & Bedford Ave,40.6851443,-73.95380904,35022,Subscriber,1989,0
